"District","District Name","Founded Incidents","Age","Color","Race","Creed","National Origin","Ancestry","Marital Status","Sex","Religion","Gender Identity","Physical Attributes","Physical/Mental Abilities","Political Belief","Political Party Preference","Socioeconomic Status","Sexual Orientation","Familial Status","Other","Year","County","Enrollment"
1413,"Coon Rapids-Bayard","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Carroll",383
1431,"Corning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Adams",418
1449,"Corwith-Wesley","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA
1476,"Council Bluffs","0","0","1","1","0","1","0","0","5","0","1","7","6","0","0","3","2","0","12",2014,"Pottawattamie",8595
1503,"Creston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Union",1434
1576,"Dallas Center-Grimes","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Dallas",2753
1602,"Danville","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Des Moines",628
1611,"Davenport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Scott",15184
1619,"Davis County","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Davis",1217
1638,"Decorah Community","0","0","0","0","0","1","0","0","9","0","0","11","7","0","0","0","5","0","7",2014,"Winneshiek",1667
1675,"Delwood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Clinton",140
1701,"Denison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Crawford",2098
1719,"Denver","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Bremer",750
1737,"Des Moines Independent","0","0","0","1","0","0","0","0","10","0","0","6","2","0","0","1","0","0","19",2014,"Polk",31609
1782,"Diagonal","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Ringgold",105
1791,"Dike-New Hartford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Grundy",888
1854,"Dows",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA
1863,"Dubuque",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Dubuque",10419
1908,"Dunkerton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Black Hawk",442
1926,"Durant","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Cedar",659
1944,"Eagle Grove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Wright",824
1953,"Earlham",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Madison",597
1963,"East Buchanan","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Buchanan",549
1967,"East Greene",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA
1968,"East Marshall","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Marshall",856
3978,"East Mills","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Mills",454
6741,"East Sac County","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Sac",916
1970,"East Union","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","7",2014,"Union",470
1972,"Eastern Allamakee","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Allamakee",344
1965,"Easton Valley","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Jackson",458
657,"Eddyville-Blakesburg-","0","0","0","1","0","0","0","0","3","0","0","3","1","0","0","0","1","0","6",2014,"Wapello",919
1989,"Edgewood-Colesburg","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Delaware",515
2007,"Eldora-New Providence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Hardin",548
2016,"Elk Horn-Kimballton","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,NA,NA
2088,"Emmetsburg","0","1","0","0","0","0","0","0","1","0","0","10","5","0","0","1","0","0","3",2014,"Palo Alto",769
2097,"English Valleys","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Iowa",438
2113,"Essex","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Page",220
2124,"Estherville Lincoln","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Emmet",1323
2151,"Exira","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Shelby",351
2169,"Fairfield","0","0","0","0","0","0","0","0","7","0","0","11","2","0","0","2","4","0","10",2014,"Jefferson",1675
2205,"Farragut","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Fremont",130
2295,"Forest City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Winnebago",1104
2313,"Fort Dodge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Webster",3683
2322,"Fort Madison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Lee",1975
2349,"Fredericksburg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA
2369,"Fremont-Mills",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Fremont",453
2376,"Galva-Holstein","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Ida",432
2403,"Garner-Hayfield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Hancock",1012
2457,"George-Little Rock","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Lyon",440
2466,"Gilbert","10","3","0","1","0","1","0","0","1","0","1","2","3","0","0","1","1","2","15",2014,"Story",1428
2493,"Gilmore City-Bradgate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Humboldt",43
2502,"Gladbrook-Reinbeck","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Grundy",461
2511,"Glenwood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Mills",1988
2520,"Glidden-Ralston","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Carroll",311
2682,"GMG","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Tama",532
2556,"Graettinger-Terril","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Palo Alto",330
2709,"Grinnell-Newburg","0","2","0","0","0","0","0","0","9","0","0","14","4","0","0","0","0","0","7",2014,"Poweshiek",1618
2718,"Griswold",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Cass",490
2727,"Grundy Center","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Grundy",690
2754,"Guthrie Center",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Guthrie",501
2772,"Hamburg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Fremont",182
2781,"Hampton-Dumont",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Franklin",1172
2826,"Harlan","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Shelby",1512
2834,"Harmony","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Van Buren",254
2846,"Harris-Lake Park","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Dickinson",357
2862,"Hartley-Melvin-Sanborn","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"O'Brien",643
2977,"Highland","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Washington",639
2988,"Hinton","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Plymouth",753
2766,"H-L-V","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Iowa",342
3029,"Howard-Winneshiek","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Howard",1102
3033,"Hubbard-Radcliffe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Hardin",373
3042,"Hudson","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Black Hawk",705
3060,"Humboldt","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Humboldt",1372
3168,"IKM-Manning","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Crawford",641
3105,"Independence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Buchanan",1385
3114,"Indianola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Warren",3523
3119,"Interstate 35","0","3","1","1","0","0","0","0","3","0","0","9","1","0","0","4","1","2","1",2014,"Madison",810
3141,"Iowa City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Johnson",13217
3150,"Iowa Falls","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Hardin",1141
3154,"Iowa Valley","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Iowa",496
3186,"Janesville Consolidated","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Bremer",339
3195,"Jefferson-Scranton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Greene",1255
3204,"Jesup","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Buchanan",923
3231,"Johnston",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Polk",6747
3312,"Keokuk","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Lee",1797
3330,"Keota","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Keokuk",298
3348,"Kingsley-Pierson","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Plymouth",460
3375,"Knoxville",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Marion",1681
3420,"Lake Mills",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Winnebago",700
3465,"Lamoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Decatur",317
3537,"Laurens-Marathon","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Pocahontas",259
3555,"Lawton-Bronson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Woodbury",588
3600,"Le Mars","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Plymouth",2055
3609,"Lenox",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Taylor",483
3645,"Lewis Central","0","0","0","0","0","2","0","0","2","0","0","13","6","0","0","3","4","0","3",2014,"Pottawattamie",3043
3715,"Linn-Mar","0","0","2","6","0","0","0","0","7","0","2","11","9","0","0","3","1","1","13",2014,"Linn",7157
3744,"Lisbon","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Linn",640
3798,"Logan-Magnolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Harrison",647
3816,"Lone Tree","0","0","0","2","0","0","0","0","1","0","0","2","2","0","0","2","0","1","8",2014,"Johnson",451
3841,"Louisa-Muscatine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Louisa",821
3897,"LuVerne","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Kossuth",71
3906,"Lynnville-Sully","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Jasper",472
3942,"Madrid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Boone",689
4023,"Manson Northwest Webster","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Calhoun",737
4033,"Maple Valley-Anthon Oto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Monona",604
4041,"Maquoketa","0","0","4","2","0","0","0","0","2","0","0","0","1","1","0","0","0","0","5",2014,"Jackson",1365
4043,"Maquoketa Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Delaware",690
4068,"Marcus-Meriden-Cleghorn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Cherokee",376
4086,"Marion Independent","0","0","0","0","0","0","0","0","6","0","1","3","4","0","0","0","1","0","4",2014,"Linn",2097
4104,"Marshalltown","12","1","0","1","0","0","0","0","4","0","3","8","5","0","0","2","2","2","25",2014,"Marshall",4780
4122,"Martensdale-St Marys","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Warren",561
4131,"Mason City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Cerro Gordo",3732
4203,"Mediapolis","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Des Moines",857
4212,"Melcher-Dallas","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Marion",338
4419,"MFL MarMac","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Clayton",778
4269,"Midland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Jones",465
4271,"Mid-Prairie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Washington",1281
4356,"Missouri Valley","0","0","0","0","0","0","0","0","2","0","0","7","0","0","0","0","0","1","1",2014,"Harrison",801
4149,"MOC-Floyd Valley","0","2","0","2","0","0","0","0","0","0","0","5","4","0","0","0","0","0","2",2014,"Sioux",1404
4437,"Montezuma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Poweshiek",498
4446,"Monticello","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Jones",1088
4491,"Moravia","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Appanoose",362
4505,"Mormon Trail","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Wayne",224
4509,"Morning Sun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Louisa",113
4518,"Moulton-Udell","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Appanoose",208
4527,"Mount Ayr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Ringgold",630
4536,"Mount Pleasant","10","0","0","1","0","1","0","0","0","0","1","11","3","0","0","1","9","0","13",2014,"Henry",2008
4554,"Mount Vernon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Linn",1292
4572,"Murray","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Clarke",323
4581,"Muscatine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Muscatine",4991
4599,"Nashua-Plainfield","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Bremer",607
4617,"Nevada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Story",1548
4662,"New Hampton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Chickasaw",995
4689,"New London","0","0","0","0","0","0","0","0","2","0","0","2","2","0","0","1","1","0","7",2014,"Henry",509
4644,"Newell-Fonda","0","1","0","1","0","0","0","0","2","0","0","5","1","0","0","0","0","0","0",2014,"Buena Vista",473
4725,"Newton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Jasper",2821
2673,"Nodaway Valley","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Adair",647
153,"North Butler","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Butler",623
3691,"North Cedar","0","0","1","1","0","0","0","0","2","0","0","4","6","0","0","0","1","1","3",2014,"Cedar",729
4774,"North Fayette","0","0","0","1","0","0","1","0","2","0","0","1","1","0","0","0","0","0","15",2014,"Fayette",762
873,"North Iowa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Winnebago",466
4778,"North Kossuth","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Kossuth",277
4777,"North Linn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Linn",613
4776,"North Mahaska","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2014,"Mahaska",516
4779,"North Polk","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,"Polk",1510
4784,"North Scott","0","0","4","4","0","0","0","0","2","0","0","5","4","0","0","0","0","1","18",2014,"Scott",3125
